dimension,layer,direction,rank,token,score
fear,7,promoted,15,ροι,7.0541
fear,7,suppressed,1,pod,-11.6677
fear,7,suppressed,2,pod,-10.0369
fear,7,suppressed,3,_singleton,-9.9899
fear,7,suppressed,4,spath,-9.9287
fear,7,suppressed,5,PEAT,-9.8892
fear,7,suppressed,6,麻,-9.6097
fear,7,suppressed,7,cellFor,-9.4694
fear,7,suppressed,8,uhan,-9.2648
fear,7,suppressed,9,atar,-9.2153
fear,7,suppressed,10,êu,-8.9751
fear,7,suppressed,11,.kr,-8.9594
fear,7,suppressed,12,выступ,-8.9039
fear,7,suppressed,13,UPLE,-8.8865
fear,7,suppressed,14,сыл,-8.8221
fear,7,suppressed,15,IBUT,-8.8216
fear,8,promoted,1,ito,9.8897
fear,8,promoted,2,imir,9.4186
fear,8,promoted,3,Bindable,9.3657
fear,8,promoted,4,ity,9.2402
fear,8,promoted,5,mint,9.0558
fear,8,promoted,6,entine,9.0289
fear,8,promoted,7,itten,8.7232
fear,8,promoted,8,redd,8.5167
fear,8,promoted,9,ighton,8.43
fear,8,promoted,10,ipy,8.3913
fear,8,promoted,11,nten,8.3375
fear,8,promoted,12,unnel,8.2581
fear,8,promoted,13,assen,8.2452
fear,8,promoted,14,اعية,8.0573
fear,8,promoted,15,物,7.963
fear,8,suppressed,1,datum,-10.9044
fear,8,suppressed,2,IBE,-9.9499
fear,8,suppressed,3,ilerek,-9.9239
fear,8,suppressed,4,resco,-9.3223
fear,8,suppressed,5,cribe,-9.2195
fear,8,suppressed,6,ICAST,-8.8404
fear,8,suppressed,7,reso,-8.7498
fear,8,suppressed,8,apest,-8.7
fear,8,suppressed,9,arc,-8.5167
fear,8,suppressed,10,pta,-8.5014
fear,8,suppressed,11,ید,-8.4883
fear,8,suppressed,12,baum,-8.4777
fear,8,suppressed,13,RIPTION,-8.4081
fear,8,suppressed,14,ertz,-8.4016
fear,8,suppressed,15,inou,-8.3892
self_relevance,1,promoted,1,ız,9.2767
self_relevance,1,promoted,2,@,8.1905
self_relevance,1,promoted,3,oda,7.9226
self_relevance,1,promoted,4,iei,7.6234
self_relevance,1,promoted,5,ones,7.5449
self_relevance,1,promoted,6,would,7.4285
self_relevance,1,promoted,7,anic,7.2702
self_relevance,1,promoted,8,threads,7.2631
self_relevance,1,promoted,9,722,7.2298
self_relevance,1,promoted,10,ensa,7.2044
self_relevance,1,promoted,11,trek,7.1289
self_relevance,1,promoted,12,h,6.9904
self_relevance,1,promoted,13,iram,6.9579
self_relevance,1,promoted,14,tan,6.9452
self_relevance,1,promoted,15,temp,6.9214
self_relevance,1,suppressed,1,yne,-10.8062
self_relevance,1,suppressed,2,aviours,-10.6836
self_relevance,1,suppressed,3,oola,-10.1202
self_relevance,1,suppressed,4,pter,-9.9939
self_relevance,1,suppressed,5,asn,-9.935
self_relevance,1,suppressed,6,loon,-9.9016
self_relevance,1,suppressed,7,AMESPACE,-9.8541
self_relevance,1,suppressed,8,盤,-9.7561
self_relevance,1,suppressed,9,igsaw,-9.7302
self_relevance,1,suppressed,10,lsru,-9.6225
self_relevance,1,suppressed,11,rchive,-9.5614
self_relevance,1,suppressed,12,лы,-9.4974
self_relevance,1,suppressed,13,ennis,-9.4874
self_relevance,1,suppressed,14,円,-9.4145
self_relevance,1,suppressed,15,lore,-9.2903
self_relevance,2,promoted,1,iy,9.7802
self_relevance,2,promoted,2,ofs,8.6771
self_relevance,2,promoted,3,ular,8.6273
self_relevance,2,promoted,4,oda,8.5946
self_relevance,2,promoted,5,esser,8.562
self_relevance,2,promoted,6,bang,8.4706
self_relevance,2,promoted,7,_MB,8.4016
self_relevance,2,promoted,8,urb,8.3147
self_relevance,2,promoted,9,Adjustable,8.058
self_relevance,2,promoted,10,agedList,7.958
self_relevance,2,promoted,11,mb,7.7666
self_relevance,2,promoted,12,canned,7.6773
self_relevance,2,promoted,13,scout,7.6366
self_relevance,2,promoted,14,app,7.6301
self_relevance,2,promoted,15,447,7.6003
self_relevance,2,suppressed,1,カー,-10.605
self_relevance,2,suppressed,2,ixo,-10.1054
self_relevance,2,suppressed,3,swire,-9.9285
self_relevance,2,suppressed,4,ibr,-9.6544
self_relevance,2,suppressed,5,sworth,-9.5791
self_relevance,2,suppressed,6,意思,-9.5714
self_relevance,2,suppressed,7,盤,-9.1716
self_relevance,2,suppressed,8,GestureRecognizer,-9.1415
self_relevance,2,suppressed,9,raith,-9.1197
self_relevance,2,suppressed,10,ASCII,-9.0544
self_relevance,2,suppressed,11,asser,-9.0078
self_relevance,2,suppressed,12,功,-8.902
self_relevance,2,suppressed,13,الإنجليزية,-8.7717
self_relevance,2,suppressed,14,ДК,-8.6101
self_relevance,2,suppressed,15,.WinForms,-8.5021
self_relevance,3,promoted,1,aliz,9.7684
self_relevance,3,promoted,2,ARGE,9.2755
self_relevance,3,promoted,3,ken,8.9568
self_relevance,3,promoted,4,IFORM,8.7637
self_relevance,3,promoted,5,oise,8.7388
self_relevance,3,promoted,6,vox,8.5923
self_relevance,3,promoted,7,askan,8.5806
self_relevance,3,promoted,8,utex,8.4277
self_relevance,3,promoted,9,Marker,8.35
self_relevance,3,promoted,10,abit,8.3451
self_relevance,3,promoted,11,�,8.3202
self_relevance,3,promoted,12,gener,8.1118
self_relevance,3,promoted,13,ierz,8.0743
self_relevance,3,promoted,14,рою,8.073
self_relevance,3,promoted,15,ogui,8.0588
self_relevance,3,suppressed,1,ardo,-9.4919
self_relevance,3,suppressed,2,swire,-8.5225
self_relevance,3,suppressed,3,gz,-8.4881
self_relevance,3,suppressed,4,GestureRecognizer,-8.4379
self_relevance,3,suppressed,5,inton,-8.3947
self_relevance,3,suppressed,6,pan,-8.3243
self_relevance,3,suppressed,7,τευ,-8.2323
self_relevance,3,suppressed,8,oldown,-8.1055
self_relevance,3,suppressed,9,throw,-8.0848
self_relevance,3,suppressed,10,hal,-7.9875
self_relevance,3,suppressed,11,功,-7.9729
self_relevance,3,suppressed,12,Cop,-7.96
self_relevance,3,suppressed,13,alking,-7.9278
self_relevance,3,suppressed,14,707,-7.927
self_relevance,3,suppressed,15,baum,-7.7891
self_relevance,4,promoted,1,Pike,9.1344
self_relevance,4,promoted,2,/doc,9.0625
self_relevance,4,promoted,3,�,9.0592
self_relevance,4,promoted,4,981,8.4224
self_relevance,4,promoted,5,aceutical,8.1973
self_relevance,4,promoted,6,ublic,8.1813
self_relevance,4,promoted,7,理,8.0836
self_relevance,4,promoted,8,Harvey,8.0439
self_relevance,4,promoted,9,Storm,7.9465
self_relevance,4,promoted,10,ائب,7.8798
self_relevance,4,promoted,11,abox,7.7838
self_relevance,4,promoted,12,置,7.7405
self_relevance,4,promoted,13,ALI,7.726
self_relevance,4,promoted,14,unt,7.6495
self_relevance,4,promoted,15,033,7.6044
self_relevance,4,suppressed,1,.metro,-10.0602
self_relevance,4,suppressed,2,ixo,-9.8166
self_relevance,4,suppressed,3,zby,-9.5797
self_relevance,4,suppressed,4,kop,-8.8648
self_relevance,4,suppressed,5,Ow,-8.7266
self_relevance,4,suppressed,6,Lookup,-8.4511
self_relevance,4,suppressed,7,افت,-8.3695
self_relevance,4,suppressed,8,paints,-8.3595
self_relevance,4,suppressed,9,707,-8.3483
self_relevance,4,suppressed,10,anz,-8.3034
self_relevance,4,suppressed,11,aucoup,-8.2163
self_relevance,4,suppressed,12,sworth,-8.2133
self_relevance,4,suppressed,13,515,-8.1675
self_relevance,4,suppressed,14,ugi,-8.1365
self_relevance,4,suppressed,15,ñana,-8.1217
self_relevance,5,promoted,1,اوت,9.6571
self_relevance,5,promoted,2,abin,9.4354
self_relevance,5,promoted,3,pitch,8.8549
self_relevance,5,promoted,4,.datas,8.7225
self_relevance,5,promoted,5,_CHAIN,8.6714
self_relevance,5,promoted,6,jeta,8.5609
self_relevance,5,promoted,7,Pitch,8.4213
self_relevance,5,promoted,8,ems,8.3033
self_relevance,5,promoted,9,newcom,8.2954
self_relevance,5,promoted,10,�,8.2843
self_relevance,5,promoted,11,쳐,8.2746
self_relevance,5,promoted,12,emek,8.1724
self_relevance,5,promoted,13,iesel,8.0999
self_relevance,5,promoted,14,_RTC,8.0906
self_relevance,5,promoted,15,ModelIndex,8.0854
self_relevance,5,suppressed,1,ゥ,-9.4466
self_relevance,5,suppressed,2,parer,-8.7569
self_relevance,5,suppressed,3,metry,-8.4998
self_relevance,5,suppressed,4,illis,-8.0336
self_relevance,5,suppressed,5,Designs,-7.9282
self_relevance,5,suppressed,6,iglia,-7.8654
self_relevance,5,suppressed,7,lyph,-7.8427
self_relevance,5,suppressed,8,lbrakk,-7.842
self_relevance,5,suppressed,9,Ruf,-7.8211
self_relevance,5,suppressed,10,uesta,-7.8172
self_relevance,5,suppressed,11,aments,-7.8164
self_relevance,5,suppressed,12,ænd,-7.8103
self_relevance,5,suppressed,13,cio,-7.7624
self_relevance,5,suppressed,14,OwnProperty,-7.7598
self_relevance,5,suppressed,15,esson,-7.7492
self_relevance,6,promoted,1,ARGE,9.1191
self_relevance,6,promoted,2,nic,9.0626
self_relevance,6,promoted,3,Afr,8.3538
self_relevance,6,promoted,4,896,8.235
self_relevance,6,promoted,5,Claw,8.2253
self_relevance,6,promoted,6,mans,8.1067
self_relevance,6,promoted,7,olate,7.8705
self_relevance,6,promoted,8,enti,7.8524
self_relevance,6,promoted,9,ourt,7.7701
self_relevance,6,promoted,10,osas,7.6633
self_relevance,6,promoted,11,odp,7.6329
self_relevance,6,promoted,12,ACLE,7.5804
self_relevance,6,promoted,13,Meadow,7.5656
self_relevance,6,promoted,14,.uni,7.5398
self_relevance,6,promoted,15,ekil,7.5334
self_relevance,6,suppressed,1,TMPro,-11.7922
self_relevance,6,suppressed,2,lyph,-9.1342
self_relevance,6,suppressed,3,Seeder,-8.9821
self_relevance,6,suppressed,4,意见,-8.7891
self_relevance,6,suppressed,5,_OW,-8.7062
self_relevance,6,suppressed,6,Occurred,-8.5277
self_relevance,6,suppressed,7,ailles,-8.4751
self_relevance,6,suppressed,8,スコ,-8.4358
self_relevance,6,suppressed,9,يدي,-8.2648
self_relevance,6,suppressed,10,imento,-8.1773
self_relevance,6,suppressed,11,bullet,-8.0591
self_relevance,6,suppressed,12,spoilers,-7.9838
self_relevance,6,suppressed,13,atom,-7.8441
self_relevance,6,suppressed,14,emean,-7.8187
self_relevance,6,suppressed,15,bulb,-7.7872
self_relevance,7,promoted,1,Nicol,8.9428
self_relevance,7,promoted,2,Leia,7.8702
self_relevance,7,promoted,3,freeze,7.6805
self_relevance,7,promoted,4,Variant,7.6575
self_relevance,7,promoted,5,private,7.5677
self_relevance,7,promoted,6,quist,7.496
self_relevance,7,promoted,7,kin,7.4674
self_relevance,7,promoted,8,",",7.3808
self_relevance,7,promoted,9,sys,7.3694
self_relevance,7,promoted,10,.pem,7.3282
self_relevance,7,promoted,11,enti,7.248
self_relevance,7,promoted,12,ISO,7.233
self_relevance,7,promoted,13,.xhtml,7.1492
self_relevance,7,promoted,14,;,7.1179
self_relevance,7,promoted,15,Clamp,7.0821
self_relevance,7,suppressed,1,kili,-11.4697
self_relevance,7,suppressed,2,nero,-10.0089
self_relevance,7,suppressed,3,angelo,-9.9299
self_relevance,7,suppressed,4,inode,-9.8946
self_relevance,7,suppressed,5,arduino,-9.8841
self_relevance,7,suppressed,6,etta,-9.8702
self_relevance,7,suppressed,7,amment,-9.6588
self_relevance,7,suppressed,8,/stdc,-9.5321
self_relevance,7,suppressed,9,estone,-9.461
self_relevance,7,suppressed,10,지노,-9.3025
self_relevance,7,suppressed,11,basal,-9.2876
self_relevance,7,suppressed,12,専,-9.2797
self_relevance,7,suppressed,13,ahoo,-9.2589
self_relevance,7,suppressed,14,岳,-9.258
self_relevance,7,suppressed,15,anean,-9.1403
self_relevance,8,promoted,1,arer,9.3978
self_relevance,8,promoted,2,so,8.9533
self_relevance,8,promoted,3,mall,8.4218
self_relevance,8,promoted,4,Rate,8.3499
self_relevance,8,promoted,5,893,8.2848
self_relevance,8,promoted,6,hi,8.2739
self_relevance,8,promoted,7,Amit,8.1748
self_relevance,8,promoted,8,Gallagher,8.1332
self_relevance,8,promoted,9,oc,8.0952
self_relevance,8,promoted,10,argins,7.9489
self_relevance,8,promoted,11,Mage,7.9282
self_relevance,8,promoted,12,-legged,7.9265
self_relevance,8,promoted,13,399,7.9005
self_relevance,8,promoted,14,try,7.9
self_relevance,8,promoted,15,rate,7.6125
self_relevance,8,suppressed,1,assandra,-9.6747
self_relevance,8,suppressed,2,áf,-9.5929
self_relevance,8,suppressed,3,eer,-9.5919
self_relevance,8,suppressed,4,Reload,-9.5305
self_relevance,8,suppressed,5,ured,-9.418
self_relevance,8,suppressed,6,OfType,-9.4157
self_relevance,8,suppressed,7,Fantasy,-9.2251
self_relevance,8,suppressed,8,ardash,-9.1538
self_relevance,8,suppressed,9,nomine,-9.1468
self_relevance,8,suppressed,10,cona,-9.114
self_relevance,8,suppressed,11,amment,-9.0557
self_relevance,8,suppressed,12,ěr,-8.9407
self_relevance,8,suppressed,13,ernote,-8.9226
self_relevance,8,suppressed,14,ност,-8.8368
self_relevance,8,suppressed,15,frei,-8.8319
